Original ID,Raw MetaNetX ID,transport,Final ID
R00009,MNXR96455,0,MNXR96455
R00010,MNXR95163,0,MNXR95163
R00014,MNXR102428,0,MNXR102428
R00021,MNXR100245,0,MNXR100245
R00025,MNXR191418,0,MNXR191418
R00026,MNXR146825,0,MNXR146825
R00028,MNXR101350,0,MNXR101350
R00036,MNXR103095,0,MNXR103095
R00066,MNXR192029,0,MNXR192029
R00084,MNXR100658,0,MNXR100658
R00086,MNXR153054,0,MNXR153054
R00089,MNXR95444,0,MNXR95444
R00093,MNXR100289,0,MNXR100289
R00094,MNXR100097,0,MNXR100097
R00095,MNXR191863,0,MNXR191863
R00100,MNXR146847,0,MNXR146847
R00104,MNXR101882,0,MNXR101882
R00111,MNXR191882,0,MNXR191882
R00112,MNXR101898,0,MNXR101898
R00114,MNXR100291,0,MNXR100291
R00115,MNXR100098,0,MNXR100098
R00122,MNXR96129,0,MNXR96129
R00127,MNXR95450,0,MNXR95450
R00130,MNXR190944,0,MNXR190944
R00131,MNXR105153,0,MNXR105153
R00132,MNXR138493,0,MNXR138493
R00139,MNXR106405,0,MNXR106405
R00149,MNXR96884,0,MNXR96884
R00155,MNXR188497,0,MNXR188497
R00156,MNXR188501,0,MNXR188501
R00157,MNXR106413,0,MNXR106413
R00158,MNXR188974,0,MNXR188974
R00159,MNXR101933,0,MNXR101933
R00161,MNXR95501,0,MNXR95501
R00174,MNXR103361,0,MNXR103361
R00177,MNXR188373,0,MNXR188373
R00178,MNXR95455,0,MNXR95455
R00179,MNXR190555,0,MNXR190555
R00181,MNXR95824,0,MNXR95824
R00185,MNXR190585,0,MNXR190585
R00188,MNXR96321,0,MNXR96321
R00190,MNXR190607,0,MNXR190607
R00191,MNXR95886,0,MNXR95886
R00192,MNXR95492,0,MNXR95492
R00197,MNXR151784,0,MNXR151784
R00200,MNXR103371,0,MNXR103371
R00206,MNXR103107,0,MNXR103107
R00209,MNXR188625,0,MNXR188625
R00214,MNXR101443,0,MNXR101443
R00216,MNXR101443~,0,MNXR101443
R00220,MNXR104339,0,MNXR104339
R00233,MNXR188377,0,MNXR188377
R00235,MNXR190571,0,MNXR190571
R00236,MNXR189030,0,MNXR189030
R00238,MNXR190494,0,MNXR190494
R00239,MNXR100277,0,MNXR100277
R00243,MNXR100086,0,MNXR100086
R00245,MNXR103352,0,MNXR103352
R00248,MNXR100086~,0,MNXR100086
R00251,MNXR138674,0,MNXR138674
R00253,MNXR100024,0,MNXR100024
R00256,MNXR100030,0,MNXR100030
R00257,MNXR97678,0,MNXR97678
R00258,MNXR95698,0,MNXR95698
R00259,MNXR190531,0,MNXR190531
R00264,MNXR106443,0,MNXR106443
R00267,MNXR100781,0,MNXR100781
R00268,MNXR105305,0,MNXR105305
R00269,MNXR105306,0,MNXR105306
R00274,MNXR100446,0,MNXR100446
R00277,MNXR103355,0,MNXR103355
R00278,MNXR102438,0,MNXR102438
R00282,MNXR106451,0,MNXR106451
R00286,MNXR152122,0,MNXR152122
R00289,MNXR152166,0,MNXR152166
R00291,MNXR143428,0,MNXR143428
R00293,MNXR152275,0,MNXR152275
R00299,MNXR100612,0,MNXR100612
R00305,MNXR106464,0,MNXR106464
R00306,MNXR151541,0,MNXR151541
R00310,MNXR99471,0,MNXR99471
R00316,MNXR105307,0,MNXR105307
R00328,MNXR101928,0,MNXR101928
R00330,MNXR96119,0,MNXR96119
R00332,MNXR188119,0,MNXR188119
R00335,MNXR102043,0,MNXR102043
R00341,MNXR103099,0,MNXR103099
R00342,MNXR101439,0,MNXR101439
R00344,MNXR102391,0,MNXR102391
R00345,MNXR103096,0,MNXR103096
R00348,MNXR106485,0,MNXR106485
R00351,MNXR96920,0,MNXR96920
R00352,MNXR190533,0,MNXR190533
R00355,MNXR192556,0,MNXR192556
R00357,MNXR96088,0,MNXR96088
R00369,MNXR95618,0,MNXR95618
R00372,MNXR188139,0,MNXR188139
R00409,MNXR101415,0,MNXR101415
R00416,MNXR146658,0,MNXR146658
R00424,MNXR145138,0,MNXR145138
R00425,MNXR100455,0,MNXR100455
R00428,MNXR138935,0,MNXR138935
R00429,MNXR188173,0,MNXR188173
R00430,MNXR188179,0,MNXR188179
R00432,MNXR104637,0,MNXR104637
R00434,MNXR189648,0,MNXR189648
R00451,MNXR190874,0,MNXR190874
R00465,MNXR100332,0,MNXR100332
R00470,MNXR97219,0,MNXR97219
R00471,MNXR146939,0,MNXR146939
R00472,MNXR188337,0,MNXR188337
R00475,MNXR100338,0,MNXR100338
R00479,MNXR191123,0,MNXR191123
R00480,MNXR96085,0,MNXR96085
R00481,MNXR96094,0,MNXR96094
R00485,MNXR96056,0,MNXR96056
R00494,MNXR100136,0,MNXR100136
R00497,MNXR100450,0,MNXR100450
R00502,MNXR144933,0,MNXR144933
R00508,MNXR190738,0,MNXR190738
R00509,MNXR95159,0,MNXR95159
R00511,MNXR102034,0,MNXR102034
R00512,MNXR97047,0,MNXR97047
R00513,MNXR190860,0,MNXR190860
R00514,MNXR190800,0,MNXR190800
R00515,MNXR102053,0,MNXR102053
R00517,MNXR190862,0,MNXR190862
R00527,MNXR104357,0,MNXR104357
R00529,MNXR104240,0,MNXR104240
R00533,MNXR104649,0,MNXR104649
R00551,MNXR95945,0,MNXR95945
R00554,MNXR95943,0,MNXR95943
R00557,MNXR191213,0,MNXR191213
R00558,MNXR140333,0,MNXR140333
R00562,MNXR106584,0,MNXR106584
R00565,MNXR100312,0,MNXR100312
R00569,MNXR102045,0,MNXR102045
R00570,MNXR188503,0,MNXR188503
R00571,MNXR190281,0,MNXR190281
R00573,MNXR190850,0,MNXR190850
R00575,MNXR96485,0,MNXR96485
R00578,MNXR153021,0,MNXR153021
R00582,MNXR162386,0,MNXR162386
R00586,MNXR104275,0,MNXR104275
R00589,MNXR104348,0,MNXR104348
R00597,MNXR146981,0,MNXR146981
R00602,MNXR103159,0,MNXR103159
R00619,MNXR104886,0,MNXR104886
R00621,MNXR105310,0,MNXR105310
R00629,MNXR147008,0,MNXR147008
R00640,MNXR151793,0,MNXR151793
R00644,MNXR191907,0,MNXR191907
R00650,MNXR100577,0,MNXR100577
R00658,MNXR97932,0,MNXR97932
R00662,MNXR188547,0,MNXR188547
R00667,MNXR102220,0,MNXR102220
R00669,MNXR95377,0,MNXR95377
R00670,MNXR102209,0,MNXR102209
R00678,MNXR146592,0,MNXR146592
R00685,MNXR101250,0,MNXR101250
R00691,MNXR95958,0,MNXR95958
R00694,MNXR126234,0,MNXR126234
R00699,MNXR102650,0,MNXR102650
R00702,MNXR146156,0,MNXR146156
R00704,MNXR101037,0,MNXR101037
R00705,MNXR188441,0,MNXR188441
R00706,MNXR106650,0,MNXR106650
R00707,MNXR102301,0,MNXR102301
R00708,MNXR106651,0,MNXR106651
R00710,MNXR95749,0,MNXR95749
R00711,MNXR95750,0,MNXR95750
R00713,MNXR104540,0,MNXR104540
R00714,MNXR104541,0,MNXR104541
R00719,MNXR100892,0,MNXR100892
R00720,MNXR102056,0,MNXR102056
R00722,MNXR101941,0,MNXR101941
R00727,MNXR147043,0,MNXR147043
R00733,MNXR106659,0,MNXR106659
R00734,MNXR105000,0,MNXR105000
R00736,MNXR104990,0,MNXR104990
R00742,MNXR95220,0,MNXR95220
R00746,MNXR95726,0,MNXR95726
R00751,MNXR104833,0,MNXR104833
R00754,MNXR95725,0,MNXR95725
R00756,MNXR145952,0,MNXR145952
R00762,MNXR99465,0,MNXR99465
R00764,MNXR102512,0,MNXR102512
R00768,MNXR144996,0,MNXR144996
R00771,MNXR102535,0,MNXR102535
R00782,MNXR105313,0,MNXR105313
R00787,MNXR102062,0,MNXR102062
R00789,MNXR102063,0,MNXR102063
R00790,MNXR101983,0,MNXR101983
R00794,MNXR145781,0,MNXR145781
R00796,MNXR147055,0,MNXR147055
R00801,MNXR146419,0,MNXR146419
R00802,MNXR146364,0,MNXR146364
R00833,MNXR188435,0,MNXR188435
R00835,MNXR99907,0,MNXR99907
R00841,MNXR99894,0,MNXR99894
R00842,MNXR99876,0,MNXR99876
R00847,MNXR100348,0,MNXR100348
R00848,MNXR192665,0,MNXR192665
R00851,MNXR147073,0,MNXR147073
R00855,MNXR147079,0,MNXR147079
R00858,MNXR104650,0,MNXR104650
R00859,MNXR104653,0,MNXR104653
R00868,MNXR145653,0,MNXR145653
R00875,MNXR104283,0,MNXR104283
R00888,MNXR100377,0,MNXR100377
R00889,MNXR192069,0,MNXR192069
R00891,MNXR105314,0,MNXR105314
R00894,MNXR100074,0,MNXR100074
R00896,MNXR153292,0,MNXR153292
R00897,MNXR97007,0,MNXR97007
R00899,MNXR95828,0,MNXR95828
R00904,MNXR152952,0,MNXR152952
R00922,MNXR101662,0,MNXR101662
R00923,MNXR101656,0,MNXR101656
R00925,MNXR95222,0,MNXR95222
R00926,MNXR189036,0,MNXR189036
R00927,MNXR95195,0,MNXR95195
R00935,MNXR101667,0,MNXR101667
R00936,MNXR190916,0,MNXR190916
R00937,MNXR104809,0,MNXR104809
R00939,MNXR97401,0,MNXR97401
R00940,MNXR188902,0,MNXR188902
R00942,MNXR143412,0,MNXR143412
R00943,MNXR99672,0,MNXR99672
R00944,MNXR99669,0,MNXR99669
R00945,MNXR188117,0,MNXR188117
R00946,MNXR145582,0,MNXR145582
R00959,MNXR145963,0,MNXR145963
R00961,MNXR189674,0,MNXR189674
R00964,MNXR188986,0,MNXR188986
R00966,MNXR105142,0,MNXR105142
R00968,MNXR188988,0,MNXR188988
R00985,MNXR95844,0,MNXR95844
R00986,MNXR95843,0,MNXR95843
R00994,MNXR106779,0,MNXR106779
R00996,MNXR146502,0,MNXR146502
R01001,MNXR97012,0,MNXR97012
R01004,MNXR147121,0,MNXR147121
R01005,MNXR152286,0,MNXR152286
R01009,MNXR147131,0,MNXR147131
R01011,MNXR97361,0,MNXR97361
R01015,MNXR146573,0,MNXR146573
R01018,MNXR147136,0,MNXR147136
R01021,MNXR96702,0,MNXR96702
R01025,MNXR106794,0,MNXR106794
R01026,MNXR95261,0,MNXR95261
